,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,rooms_per_household,population_per_household,bedrooms_per_room,<1H OCEAN,INLAND,ISLAND,NEAR BAY,NEAR OCEAN,median_house_value
7824,0.5669479012999351,-0.8250179689933641,-0.0810588575417346,1.1203747924107401,1.7880073218766595,1.0910894888792053,1.8717608591364492,-0.21515255761433472,-0.5211223107909906,-0.7305052170509944,0.6034840849630881,1.0,0.0,0.0,0.0,0.0,360800.0
10035,0.7487084234585045,-0.8296734893072965,-0.8715393311204194,-0.512888478993695,-0.337793227471161,-0.5061022492552345,-0.4234302450093022,-0.5164558848226696,-0.402251962193201,-0.39194827433084095,0.7570521198300388,1.0,0.0,0.0,0.0,0.0,196500.0
16196,-1.2759018372522322,0.8230362221390305,-0.16889002127269956,0.05578899669332781,-0.2793278658279316,-0.17547064416433164,-0.21314457960153504,1.8719303626084742,0.5018104357479781,-0.005687826178101754,-0.9605133953601486,1.0,0.0,0.0,0.0,0.0,349000.0
10363,0.7436595200652083,-0.8436400502490969,-0.6958770036584894,-0.010691466499151947,-0.16473575700720203,-0.26759976329122387,-0.14646863691126744,1.4278105323132284,0.20056829493602132,-0.39241178893021617,-0.5400435164143544,1.0,0.0,0.0,0.0,0.0,207400.0
11659,-0.9022829861485011,1.4235983426364283,-0.16889002127269956,0.05174626582351485,0.12291382227748654,-0.19269104026281617,0.03304351648560698,-0.50492609576882,-0.021345193829843106,-0.5607190901255951,0.005423183413816989,0.0,1.0,0.0,0.0,0.0,159800.0
3260,0.5366544809401724,-0.6294861158081639,0.7094216160369501,-0.5232199023276615,-0.6254428067558495,-0.3838374369559944,-0.5721688863952838,0.5663250783670298,-0.05119266924041674,0.5725276837523146,-0.4476651256358833,1.0,0.0,0.0,0.0,0.0,177200.0
617,-1.2809507406455212,0.9161466284176982,0.7094216160369501,-0.4293387076842272,-0.5529457583182451,-0.47941063530258354,-0.49523510636805196,1.1972147512362363,0.017667909945473452,-0.08323365497304032,-0.5197873500259826,0.0,0.0,0.0,1.0,0.0,214500.0
4197,0.5719968046932313,-0.7179410017728992,1.4999020896156348,-0.36645178304269227,-0.1296565400212644,-0.08334152503743941,-0.10287282822916935,-1.0165684475948977,-0.6117699219520312,-0.047926032549623396,0.7814714440480673,1.0,0.0,0.0,0.0,0.0,158000.0
9926,0.7739529404249711,-0.815706928365496,0.4459281248440552,-0.5811657114616472,-0.13199515448699356,-0.23143693148440633,-0.15672647424823166,-0.18565922981360342,-0.9884280226489794,-0.28177904397895015,2.200848979361773,1.0,0.0,0.0,0.0,0.0,183700.0
8085,0.7133660997054527,-0.4805094657622975,-1.925513295891999,3.410357234000347,2.9760234704670805,3.7886645377068064,3.284777952303275,0.3431185543632228,0.14744131924630294,0.28421747389893925,-0.5881362273294217,0.0,1.0,0.0,0.0,0.0,145500.0
